t_ms,u_cat_D0.029,u_dog_D0.071
2.16108,0.624442,0.765498
2.16358,0.633393,0.770473
2.16608,0.642426,0.775494
2.16858,0.65154,0.780559
2.17109,0.660731,0.785667
2.17359,0.669997,0.790816
2.17609,0.679336,0.796006
2.17859,0.688746,0.801234
2.18109,0.698224,0.806499
2.18359,0.707767,0.811801
2.18609,0.717374,0.817137
2.18859,0.727042,0.822506
2.1911,0.736768,0.827906
2.1936,0.74655,0.833337
2.1961,0.756386,0.838798
2.1986,0.766273,0.844285
2.2011,0.776208,0.849799
2.2036,0.78619,0.855337
2.2061,0.796215,0.860899
2.2086,0.806281,0.866482
2.21111,0.816385,0.872086
2.21361,0.826526,0.877709
2.21611,0.8367,0.88335
2.21861,0.846905,0.889006
2.22111,0.857138,0.894677
2.22361,0.867397,0.900362
2.22611,0.87768,0.906058
2.22861,0.887983,0.911765
2.23112,0.898304,0.917481
2.23362,0.90864,0.923204
2.23612,0.91899,0.928934
2.23862,0.92935,0.934668
2.24112,0.939718,0.940405
2.24362,0.950092,0.946144
2.24612,0.960468,0.951884
2.24862,0.970844,0.957622
2.25113,0.981218,0.963358
2.25363,0.991587,0.969091
2.25613,1.001948,0.974818
2.25863,1.0123,0.980538
2.26113,1.022639,0.986251
2.26363,1.032962,0.991954
2.26613,1.043268,0.997646
2.26863,1.053554,1.003326
2.27114,1.063817,1.008993
2.27364,1.074055,1.014644
2.27614,1.084265,1.02028
2.27864,1.094445,1.025897
2.28114,1.104592,1.031496
2.28364,1.114703,1.037074
2.28614,1.124778,1.042631
2.28864,1.134812,1.048165
2.29115,1.144803,1.053674
2.29365,1.15475,1.059158
2.29615,1.164649,1.064615
2.29865,1.174499,1.070043
2.30115,1.184296,1.075443
2.30365,1.194038,1.080811
2.30615,1.203724,1.086148
2.30865,1.213351,1.091451
