t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
2545.1,0.76353,583.3241,0.3889,1141120112201163159189371490625635348279489200128.0000,0.0000,0.1355,1141120112201163159189371490625635348279489200128.0000
2555.1,0.76653,581.5214,0.3877,1764141643459539035436156296138269810877922279424.0000,0.0000,0.1355,1764141643459539035436156296138269810877922279424.0000
2565.1,0.76954,579.7222,0.3865,2727316524274391134950307089152939781766992887808.0000,0.0000,0.1355,2727316524274391134950307089152939781766992887808.0000
2575.2,0.77255,577.9265,0.3853,4216359525980912664062137086410358551754475307008.0000,0.0000,0.1355,4216359525980912664062137086410358551754475307008.0000
2585.2,0.77555,576.1344,0.3841,6518380794491678692390335229290954842681456459776.0000,0.0000,0.1355,6518380794491678692390335229290954842681456459776.0000
2595.2,0.77856,574.3457,0.3829,10077245054692783474782458075283176275553174945792.0000,0.0000,0.1355,10077245054692783474782458075283176275553174945792.0000
2605.2,0.78156,572.5604,0.3817,15579155482623545229428426039400240134570003922944.0000,0.0000,0.1355,15579155482623545229428426039400240134570003922944.0000
2615.2,0.78457,570.7786,0.3805,24084964118117464803225554929199159392141609795584.0000,0.0000,0.1355,24084964118117464803225554929199159392141609795584.0000
2625.3,0.78758,569.0002,0.3793,37234720278515531159760771487171699033949046046720.0000,0.0000,0.1355,37234720278515531159760771487171699033949046046720.0000
2635.3,0.79058,567.2251,0.3782,57563897019737004116249243411236045596793541492736.0000,0.0000,0.1355,57563897019737004116249243411236045596793541492736.0000
2645.3,0.79359,565.4535,0.3770,88992268917637132303859020433750207911417895452672.0000,0.0000,0.1355,88992268917637132303859020433750207911417895452672.0000
2655.3,0.79659,563.6852,0.3758,137579704244036784062728746365588703864423188529152.0000,0.0000,0.1355,137579704244036784062728746365588703864423188529152.0000
2665.3,0.79960,561.9202,0.3746,212694599767921768819265528653138844407114305110016.0000,0.0000,0.1355,212694599767921768819265528653138844407114305110016.0000
2675.4,0.80261,560.1586,0.3734,328820250188880998007904992900968672282939465138176.0000,0.0000,0.1355,328820250188880998007904992900968672282939465138176.0000
2685.4,0.80561,558.4002,0.3723,508347447712610860385572773658623766229405434642432.0000,0.0000,0.1355,508347447712610860385572773658623766229405434642432.0000
2695.4,0.80862,556.6451,0.3711,785891767454993810003244452715727133572085802074112.0000,0.0000,0.1355,785891767454993810003244452715727133572085802074112.0000
2705.4,0.81162,554.8933,0.3699,1214967976986219784843869380490948876290773181530112.0000,0.0000,0.1355,1214967976986219784843869380490948876290773181530112.0000
2715.4,0.81463,553.1447,0.3688,1878308497724029159485119446581245917343299875635200.0000,0.0000,0.1355,1878308497724029159485119446581245917343299875635200.0000
2725.5,0.81764,551.3994,0.3676,2903815474522760677117354890335276351065289922707456.0000,0.0000,0.1355,2903815474522760677117354890335276351065289922707456.0000
2735.5,0.82064,549.6572,0.3664,4489222255180693919600443626136447865239214758035456.0000,0.0000,0.1355,4489222255180693919600443626136447865239214758035456.0000
2745.5,0.82365,547.9183,0.3653,6940219388328063247956409042619372514007217915035648.0000,0.0000,0.1355,6940219388328063247956409042619372514007217915035648.0000
2755.5,0.82665,546.1825,0.3641,10729396412160349643310461918215852982939774267424768.0000,0.0000,0.1355,10729396412160349643310461918215852982939774267424768.0000
2765.5,0.82966,544.4498,0.3630,16587364307658559813312480815289217598259052343721984.0000,0.0000,0.1355,16587364307658559813312480815289217598259052343721984.0000
2775.6,0.83267,542.7203,0.3618,25643628411674439097123636527783720924177180284420096.0000,0.0000,0.1355,25643628411674439097123636527783720924177180284420096.0000
2785.6,0.83567,540.9939,0.3607,39644374230837653586973437598839591490976113724751872.0000,0.0000,0.1355,39644374230837653586973437598839591490976113724751872.0000
2795.6,0.83868,539.2706,0.3595,61289158574731901544301752057605188531098348605669376.0000,0.0000,0.1355,61289158574731901544301752057605188531098348605669376.0000
2805.6,0.84168,537.5504,0.3584,94751425181455773659018047785609198301577855228706816.0000,0.0000,0.1355,94751425181455773659018047785609198301577855228706816.0000
2815.6,0.84469,535.8333,0.3572,146483208167559365807782857462454291913068253668179968.0000,0.0000,0.1355,146483208167559365807782857462454291913068253668179968.0000
2825.7,0.84770,534.1192,0.3561,226459182370784209444894582971442831668584384812810240.0000,0.0000,0.1355,226459182370784209444894582971442831668584384812810240.0000
2835.7,0.85070,532.4082,0.3549,350099932419446804683314736854400086845313779324944384.0000,0.0000,0.1355,350099932419446804683314736854400086845313779324944384.0000
2845.7,0.85371,530.7002,0.3538,541245276066657802943329429759419853009468360646197248.0000,0.0000,0.1355,541245276066657802943329429759419853009468360646197248.0000
2855.7,0.85671,528.9952,0.3527,836750943766202833437694251320446417361964408724520960.0000,0.0000,0.1355,836750943766202833437694251320446417361964408724520960.0000
2865.7,0.85972,527.2931,0.3515,1293594924249172999783572774901757159178331326976622592.0000,0.0000,0.1355,1293594924249172999783572774901757159178331326976622592.0000
2875.8,0.86273,525.5941,0.3504,1999863687647944094335123204382240220728082828403671040.0000,0.0000,0.1355,1999863687647944094335123204382240220728082828403671040.0000
2885.8,0.86573,523.8980,0.3493,3091736597137774093294313324586627912209763312221552640.0000,0.0000,0.1355,3091736597137774093294313324586627912209763312221552640.0000
2895.8,0.86874,522.2048,0.3481,4779743362070484083630815623405473542480663968716161024.0000,0.0000,0.1355,4779743362070484083630815623405473542480663968716161024.0000
2905.8,0.87174,520.5146,0.3470,7389357369061619176224795779066298676575687755291426816.0000,0.0000,0.1355,7389357369061619176224795779066298676575687755291426816.0000
2915.8,0.87475,518.8273,0.3459,11423751902874180821143443060733019734140395847000522752.0000,0.0000,0.1355,11423751902874180821143443060733019734140395847000522752.0000
2925.9,0.87776,517.1429,0.3448,17660819611298916624430924387122235427212816076148572160.0000,0.0000,0.1355,17660819611298916624430924387122235427212816076148572160.0000
2935.9,0.88076,515.4614,0.3436,27303162042969004592851015985188988429143620917466759168.0000,0.0000,0.1355,27303162042969004592851015985188988429143620917466759168.0000
2945.9,0.88377,513.7827,0.3425,42209969523029251947890653507350518571007158294589472768.0000,0.0000,0.1355,42209969523029251947890653507350518571007158294589472768.0000
2955.9,0.88677,512.1069,0.3414,65255501334645552338285375545605246225035053877264646144.0000,0.0000,0.1355,65255501334645552338285375545605246225035053877264646144.0000
2965.9,0.88978,510.4339,0.3403,100883286639493593170834959577933854534004786860214190080.0000,0.0000,0.1355,100883286639493593170834959577933854534004786860214190080.0000
2976.0,0.89279,508.7637,0.3392,155962904506604633121118827282609757433945070076669460480.0000,0.0000,0.1355,155962904506604633121118827282609757433945070076669460480.0000
2986.0,0.89579,507.0964,0.3381,241114543274734174499093723281228837571098024167291748352.0000,0.0000,0.1355,241114543274734174499093723281228837571098024167291748352.0000
2996.0,0.89880,505.4318,0.3370,372756734445936023557992577976726781236749212257601191936.0000,0.0000,0.1355,372756734445936023557992577976726781236749212257601191936.0000
3006.0,0.90180,503.7701,0.3358,576272095360421263100207243818974757793207546540252463104.0000,0.0000,0.1355,576272095360421263100207243818974757793207546540252463104.0000
3016.0,0.90481,502.1111,0.3347,890901484005909209237059901177808521815155744903840923648.0000,0.0000,0.1355,890901484005909209237059901177808521815155744903840923648.0000
3026.1,0.90782,500.4548,0.3336,1377310233471428776513421888738847205231994952006963822592.0000,0.0000,0.1355,1377310233471428776513421888738847205231994952006963822592.0000
3036.1,0.91082,498.8013,0.3325,2129285351165141064979240513175689168666636616791238901760.0000,0.0000,0.1355,2129285351165141064979240513175689168666636616791238901760.0000
